latitude,longitude,altitude,distance
-12.53534,131.05433,46.0,31698.0
-12.536937,131.05564,50.9,31925.0
-12.53862,131.05713,48.9,32173.0
-12.53976,131.05819,49.9,32344.0
-12.54242,131.0603,46.5,32719.0
-12.54317,131.06083,47.2,32821.0
-12.54378,131.06126,47.0,32903.0
-12.544307,131.06164,47.6,32975.0
-12.54536,131.0624,46.8,33118.0
-12.546065,131.062898,47.1,33214.0
-12.54677,131.063397,46.5,33309.0
-12.547475,131.063895,46.6,33404.0
-12.55073,131.06622,43.0,33846.0
-12.55083,131.06628,43.1,33859.0
-12.55127,131.06659,43.0,33919.0
-12.553,131.067827,43.3,34153.0
-12.5536,131.068253,42.5,34235.0
-12.5545,131.06889,44.0,34356.0
-12.555748,131.069763,42.1,34525.0
-12.556315,131.070155,42.9,34601.0
-12.55745,131.07094,42.7,34753.0
-12.55849,131.07162,43.2,34891.0
-12.56015,131.07246,42.1,35097.0
-12.560885,131.07274,42.4,35184.0
-12.5623,131.07322,40.2,35350.0
-12.56271,131.07334,40.4,35398.0
-12.56919,131.07368,30.9,36122.0
-12.57389,131.07367,34.6,36645.0
-12.57472,131.07367,33.9,36737.0
-12.577078,131.07367,34.8,37000.0
-12.581713,131.073662,26.2,37516.0
-12.58734,131.07365,31.4,38142.0
-12.58968,131.07365,29.9,38403.0
-12.59054,131.07365,30.5,38498.0
-12.597159,131.073637,20.8,39235.0
-12.597947,131.073634,21.7,39323.0
-12.599524,131.073629,20.4,39498.0
-12.601101,131.073623,20.9,39674.0
-12.60727,131.07364,15.8,40361.0
-12.608003,131.07364,16.7,40442.0
-12.608735,131.07364,16.2,40524.0
-12.61319,131.07363,19.9,41020.0
-12.61418,131.073635,19.8,41130.0
-12.6185,131.07333,25.0,41613.0
-12.62009,131.07305,24.0,41792.0
-12.62382,131.07254,27.6,42212.0
-12.6262,131.07258,26.3,42477.0
-12.63163,131.07342,35.9,43088.0
-12.63234,131.07353,35.8,43168.0
-12.63431,131.07384,37.9,43390.0
-12.63643,131.07421,36.1,43630.0
-12.63752,131.07439,36.9,43753.0
-12.63867,131.07457,35.0,43882.0
-12.640445,131.074865,37.2,44082.0
-12.64217,131.07518,35.6,44277.0
-12.64324,131.075405,36.0,44399.0
-12.64638,131.07605,34.0,44755.0
-12.6497,131.076652,35.8,45131.0
-12.65055,131.076793,35.5,45227.0
-12.65395,131.077358,40.4,45610.0
-12.6548,131.077499,40.1,45706.0
-12.66142,131.07859,50.0,46452.0
-12.6619,131.07867,49.9,46506.0
-12.662435,131.078755,50.3,46567.0
-12.66297,131.07884,49.8,46627.0
-12.66432,131.079045,51.4,46779.0
-12.66541,131.07919,51.2,46901.0
-12.6669,131.07938,52.8,47068.0
-12.66875,131.07961,51.7,47276.0
-12.66956,131.07972,52.5,47367.0
-12.67086,131.07991,51.0,47513.0
-12.67254,131.080165,51.8,47702.0
-12.67382,131.08038,50.9,47847.0
-12.68145,131.08166,57.7,48707.0
-12.68596,131.08273,53.1,49223.0
-12.68946,131.08369,55.8,49626.0
-12.69032,131.08393,55.7,49726.0
-12.69651,131.085022,60.4,50426.0
-12.6974,131.085134,60.1,50526.0
-12.69829,131.085246,60.5,50626.0
-12.70429,131.08599,56.6,51298.0
-12.70507,131.08609,56.8,51386.0
-12.70671,131.08628,55.5,51570.0
-12.70793,131.08641,56.0,51706.0
-12.70851,131.08648,55.5,51771.0
-12.70973,131.08663,56.4,51908.0
-12.71061,131.086745,56.1,52007.0
-12.71256,131.087,58.6,52226.0
-12.714035,131.08719,57.7,52391.0
-12.71551,131.08738,58.8,52557.0
-12.71812,131.08769,55.4,52849.0
-12.71982,131.08791,58.0,53040.0
-12.72105,131.08806,56.0,53178.0
-12.722597,131.088253,56.7,53351.0
-12.72478,131.08852,54.6,53596.0
-12.72645,131.08873,55.2,53783.0
-12.73314,131.08956,44.0,54533.0
-12.73526,131.08994,45.0,54773.0
-12.73723,131.09043,43.3,54999.0
-12.73897,131.09101,45.8,55202.0
-12.73957,131.09124,45.7,55274.0
-12.74674,131.0948,59.4,56161.0
-12.7482,131.09555,58.8,56343.0
-12.749704,131.096338,59.8,56531.0
-12.750456,131.096732,59.5,56625.0
-12.752385,131.097745,60.9,56866.0
-12.75281,131.09797,60.5,56920.0
-12.75755,131.10046,63.5,57513.0
-12.759905,131.101667,61.0,57806.0
-12.76069,131.10207,62.0,57903.0
-12.76375,131.10366,60.5,58285.0
-12.765145,131.104405,61.2,58460.0
-12.765843,131.104777,60.9,58548.0
-12.76654,131.10515,61.2,58635.0
-12.767175,131.105475,60.6,58714.0
-12.76781,131.1058,60.8,58793.0
-12.779063,131.114877,31.9,60402.0
-12.78055,131.11675,38.1,60665.0
-12.78194,131.11851,34.4,60911.0
-12.78236,131.11905,34.9,60986.0
-12.78324,131.1201,34.7,61136.0
-12.78356,131.12047,34.8,61190.0
-12.78636,131.12246,32.2,61571.0
-12.78666,131.12258,32.8,61607.0
-12.78726,131.12282,32.2,61679.0
-12.79309,131.12308,40.3,62333.0
-12.79445,131.123,39.6,62485.0
-12.79472,131.12298,40.0,62515.0
-12.79564,131.12292,39.4,62617.0
-12.797,131.12284,41.0,62769.0
-12.801947,131.122538,33.4,63321.0
-12.80821,131.12257,40.8,64022.00000000001
-12.80887,131.12283,40.2,64101.0
-12.817813,131.12825,58.8,65257.00000000001
-12.82195,131.13083,51.3,65796.0
-12.82239,131.1311,51.4,65854.0
-12.828505,131.132535,46.2,66565.0
-12.82933,131.13253,47.1,66657.0
-12.83704,131.13419,32.6,67543.0
-12.83759,131.13438,33.6,67607.0
-12.83894,131.13489,31.0,67768.0
-12.84107,131.13568,33.8,68020.0
-12.841605,131.135875,33.5,68083.0
-12.844104,131.136789,37.0,68378.0
-12.847319,131.137944,34.2,68757.0
-12.853903,131.140313,42.2,69534.0
-12.854635,131.140575,41.7,69621.0
-12.86265,131.14255,59.7,70547.0
-12.86404,131.14233,59.2,70704.0
-12.86451,131.142225,59.4,70757.0
-12.86634,131.14184,55.4,70965.0
-12.86847,131.14137,63.8,71208.0
-12.87611,131.1408,50.6,72066.0
-12.878638,131.141094,55.8,72349.0
-12.881242,131.141406,51.6,72641.0
-12.883837,131.14171,54.1,72932.0
-12.8847,131.14181,53.2,73028.0
-12.88606,131.14196,54.4,73181.0
-12.88805,131.14215,52.2,73403.0
-12.893323,131.14111,56.4,74003.0
-12.89667,131.14023,52.6,74388.0
-12.89756,131.14,53.8,74490.0
-12.90068,131.13918,52.3,74848.0
-12.901685,131.138905,53.0,74964.0
-12.90339,131.13848,52.8,75160.0
-12.90754,131.1387,57.6,75626.0
-12.90791,131.13882,57.4,75669.0
-12.91105,131.13962,60.8,76030.0
-12.91292,131.13963,59.9,76238.0
-12.918663,131.137307,74.3,76932.0
-12.92351,131.13467,66.5,77542.0
-12.926173,131.133217,69.0,77878.0
-12.92736,131.13257,67.8,78028.0
